# Time (s);Altitude (m);Total acceleration (m/s²);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s)
0.01;-0;7.06;0;0;0
0.02;-0;1.59;0;0;0
0.03;0;3.88;0;0;0
0.04;0;9.35;0;0;0
0.05;0;14.83;0;0;0
0.06;0.01;20.31;0;0;0
0.07;0.01;25.8;0;0;0
0.08;0.02;31.28;0;0;0
0.09;0.03;36.78;0;0;0
0.1;0.05;42.27;0;0;0
0.11;0.07;47.77;0;0;0
0.12;0.1;53.27;0;0;0
0.13;0.13;56.26;0;0;0
0.14;0.17;56.7;0;0;0
0.15;0.21;57.14;0;0;0
0.16;0.26;57.58;0;0;0
0.17;0.31;58.02;0;0;0
0.18;0.37;58.47;0;0;0
0.19;0.44;58.91;0;0;0
0.2;0.51;59.35;0;0;0
0.21;0.59;59.8;0;0;0
0.22;0.67;60.24;0;0;0
0.23;0.76;60.69;0;0;0
0.24;0.86;61.13;0;0;0
0.25;0.96;61.58;0;0;0
0.26;1.06;62.01;0;0;0
0.27;1.23;62.56;0;1.6;0
0.3;1.5;63.38;0;4.28;-0
0.33;1.93;64.56;0;8.55;-0
0.35;2.36;65.83;-0;12.7;-0
0.38;2.81;66.98;0;16.77;-0
0.4;3.28;68.09;0;20.75;0
0.43;3.81;69.21;-0;24.63;0
0.45;4.42;70.38;-0;28.34;0
0.48;5.22;71.72;0;31.8;-0
0.53;6.49;73.52;-0;33.91;0.07
0.58;8.06;75.73;0;-29.75;0
0.6;8.85;77.34;0;-24.65;-0
0.62;9.42;78.21;0;-20.23;0
0.63;9.91;78.87;0;-15.98;-0
0.64;10.35;79.44;0;-11.81;0
0.66;10.78;79.96;0;-7.69;-0
0.67;11.19;80.44;0;-3.66;0
0.68;11.6;80.91;0;0.34;-0
0.69;12.03;81.38;0;4.31;0
0.7;12.47;81.84;0;8.22;0
0.71;12.95;82.33;0;12.1;0
0.72;13.46;82.83;-0;15.92;0
0.73;14.05;83.38;0;19.61;0
0.75;14.76;84.01;0;23.06;0
0.77;15.79;84.84;-0;25.78;0
0.8;17.42;86.05;-0;-24.52;0.01
0.83;18.85;87.37;-0;-18.01;0
0.84;19.5;88.21;0;-13.51;0
0.85;20.05;88.7;0;-9.28;0
0.86;20.56;89.13;0;-5.17;0
0.87;21.05;89.52;0;-1.12;0
0.88;21.54;89.9;0;2.88;0
0.89;22.04;90.28;0;6.82;0
0.9;22.56;90.67;-0;10.7;0
0.9;23.12;91.07;0;14.49;0
0.92;23.76;91.52;0;18.17;0
0.93;24.54;92.04;0;21.56;0
0.95;25.71;92.75;0;23.96;0.02
0.97;27.51;93.8;-0;-21.05;0.01
0.99;28.58;94.76;0;-15.94;0
1;29.28;95.34;0;-11.54;0
1.01;29.88;95.75;0;-7.31;0
1.02;30.43;96.12;0;-3.18;0
1.02;30.96;96.45;0;0.86;0
1.03;31.48;96.77;0;4.85;0
1.04;32.01;97.08;0;8.77;0
1.05;32.57;97.4;0;12.61;0.01
1.05;33.19;97.74;-0;16.34;0.01
1.06;33.93;98.13;0;19.81;0.01
1.08;34.96;98.62;-0;22.6;0.02
1.1;36.53;99.33;-0;-21.81;0.02
1.12;38.22;100.21;-0;-14.53;0.01
1.13;38.86;100.83;-0;-10.08;0
1.13;39.42;101.28;0;-5.89;0
1.14;39.94;102.16;0;-1.79;0.01
1.15;40.44;103.04;0;2.25;0.01
1.15;40.93;103.9;0;6.22;0.01
1.16;41.44;104.76;-0;10.1;0.01
1.16;41.99;105.66;0;13.88;0.01
1.17;42.62;106.66;0;17.52;0.01
1.18;43.4;107.84;-0;20.84;0.01
1.19;44.59;109.49;-0;22.88;0.2
1.21;46.4;111.97;-0;-19.07;0.02
1.23;47.4;114.21;-0;-14.34;0.01
1.23;48.11;115.56;-0;-10.01;0.01
1.24;48.74;116.6;0;-5.87;0.01
1.25;49.34;117.55;0;-1.84;0.01
1.25;49.94;118.47;0;2.12;0.01
1.26;50.56;119.39;0;6;0.01
1.27;51.23;120.36;-0;9.74;0.01
1.27;52.01;121.43;0;13.26;0.01
1.28;53.07;122.79;0;16.13;0.02
1.3;54.68;124.72;-0;-15.79;0.02
1.32;56.79;127.38;0;-8.34;-0
1.33;57.59;129.41;-0;-4.04;0.01
